id_municipio,municipio_nome,id_ugrhi,nome_ugrhi
3525854,Jumirim,10,Tietê / Sorocaba
3525904,Jundiaí,5,Piracicaba / Capivari / Jundiaí
3526001,Junqueirópolis,21,Peixe
3526100,Juquiá,11,Ribeira de Iguape / Litoral Sul
3526209,Juquitiba,11,Ribeira de Iguape / Litoral Sul
3526308,Lagoinha,2,Paraíba do Sul
3526407,Laranjal Paulista,10,Tietê / Sorocaba
3526506,Lavínia,19,Baixo Tietê
3526605,Lavrinhas,2,Paraíba do Sul
3526704,Leme,9,Mogi-Guaçu
3526803,Lençóis Paulista,13,Tietê / Jacaré
3526902,Limeira,5,Piracicaba / Capivari / Jundiaí
3527009,Lindóia,9,Mogi-Guaçu
3527108,Lins,16,Tietê / Batalha
3527207,Lorena,2,Paraíba do Sul
3527256,Lourdes,19,Baixo Tietê
3527306,Louveira,5,Piracicaba / Capivari / Jundiaí
3527405,Lucélia,20,Aguapeí
3527504,Lucianópolis,17,Médio Paranapanema
3527603,Luís Antônio,9,Mogi-Guaçu
3527702,Luiziânia,20,Aguapeí
3527801,Lupércio,17,Médio Paranapanema
3527900,Lutécia,21,Peixe
3528007,Macatuba,13,Tietê / Jacaré
3528106,Macaubal,19,Baixo Tietê
3528205,Macedônia,15,Turvo / Grande
3528304,Magda,19,Baixo Tietê
3528403,Mairinque,10,Tietê / Sorocaba
3528502,Mairiporã,6,Alto Tietê
3528601,Manduri,14,Alto Paranapanema
3528700,Marabá Paulista,22,Pontal do Paranapanema
3528809,Maracaí,17,Médio Paranapanema
3528858,Marapoama,16,Tietê / Batalha
3528908,Mariápolis,21,Peixe
3529005,Marília,21,Peixe
3529104,Marinópolis,18,São José dos Dourados
3529203,Martinópolis,21,Peixe
3529302,Matão,16,Tietê / Batalha
3529401,Mauá,6,Alto Tietê
3529500,Mendonça,16,Tietê / Batalha
3529609,Meridiano,15,Turvo / Grande
3529658,Mesópolis,15,Turvo / Grande
3529708,Miguelópolis,8,Sapucaí / Grande
3529807,Mineiros do Tietê,13,Tietê / Jacaré
3530003,Mira Estrela,15,Turvo / Grande
3529906,Miracatu,11,Ribeira de Iguape / Litoral Sul
3530102,Mirandópolis,19,Baixo Tietê
3530201,Mirante do Paranapanema,22,Pontal do Paranapanema
3530300,Mirassol,15,Turvo / Grande
3530409,Mirassolândia,15,Turvo / Grande
3530508,Mococa,4,Pardo
3530706,Mogi Guaçu,9,Mogi-Guaçu
3530607,Mogi das Cruzes,6,Alto Tietê
3530805,Mogi Mirim,9,Mogi-Guaçu
3530904,Mombuca,5,Piracicaba / Capivari / Jundiaí
3531001,Monções,19,Baixo Tietê
3531100,Mongaguá,7,Baixada Santista
3531209,Monte Alegre do Sul,5,Piracicaba / Capivari / Jundiaí
3531308,Monte Alto,15,Turvo / Grande
3531407,Monte Aprazível,18,São José dos Dourados
3531506,Monte Azul Paulista,15,Turvo / Grande
3531605,Monte Castelo,20,Aguapeí
3531803,Monte Mor,5,Piracicaba / Capivari / Jundiaí
3531704,Monteiro Lobato,2,Paraíba do Sul
3531902,Morro Agudo,12,Baixo Pardo / Grande
3532009,Morungaba,5,Piracicaba / Capivari / Jundiaí
3532058,Motuca,9,Mogi-Guaçu
3532108,Murutinga do Sul,19,Baixo Tietê
3532157,Nantes,22,Pontal do Paranapanema
3532207,Narandiba,22,Pontal do Paranapanema
3532306,Natividade da Serra,2,Paraíba do Sul
3532405,Nazaré Paulista,5,Piracicaba / Capivari / Jundiaí
3532504,Neves Paulista,18,São José dos Dourados
3532603,Nhandeara,18,São José dos Dourados
3532702,Nipoã,19,Baixo Tietê
3532801,Nova Aliança,16,Tietê / Batalha
3532827,Nova Campina,14,Alto Paranapanema
3532843,Nova Canaã Paulista,18,São José dos Dourados
3532868,Nova Castilho,19,Baixo Tietê
3532900,Nova Europa,13,Tietê / Jacaré
3533007,Nova Granada,15,Turvo / Grande
3533106,Nova Guataporanga,20,Aguapeí
3533205,Nova Independência,20,Aguapeí
3533304,Nova Luzitânia,19,Baixo Tietê
3533403,Nova Odessa,5,Piracicaba / Capivari / Jundiaí
3533254,Novais,15,Turvo / Grande
3533502,Novo Horizonte,16,Tietê / Batalha
3533601,Nuporanga,8,Sapucaí / Grande
3533700,Ocauçu,17,Médio Paranapanema
3533809,Óleo,17,Médio Paranapanema
3533908,Olímpia,15,Turvo / Grande
3534005,Onda Verde,15,Turvo / Grande
3534104,Oriente,21,Peixe
3534203,Orindiúva,15,Turvo / Grande
3534302,Orlândia,12,Baixo Pardo / Grande
3534401,Osasco,6,Alto Tietê
3534500,Oscar Bressane,21,Peixe
3534609,Osvaldo Cruz,21,Peixe
3534708,Ourinhos,17,Médio Paranapanema
3534807,Ouro Verde,21,Peixe
3534757,Ouroeste,15,Turvo / Grande
3534906,Pacaembu,20,Aguapeí
3535002,Palestina,15,Turvo / Grande
3535101,Palmares Paulista,15,Turvo / Grande
3535200,Palmeira d'Oeste,18,São José dos Dourados
3535309,Palmital,17,Médio Paranapanema
3535408,Panorama,20,Aguapeí
3535507,Paraguaçu Paulista,17,Médio Paranapanema
3535606,Paraibuna,2,Paraíba do Sul
3535705,Paraíso,15,Turvo / Grande
3535804,Paranapanema,14,Alto Paranapanema
3535903,Paranapuã,15,Turvo / Grande
