id_municipio,municipio_nome,id_cetesb
3531902,Morro Agudo,467
3532009,Morungaba,468
3532058,Motuca,729
3532108,Murutinga do Sul,469
3532157,Nantes,789
3532207,Narandiba,470
3532306,Natividade da Serra,471
3532405,Nazaré Paulista,472
3532504,Neves Paulista,473
3532603,Nhandeara,474
3532702,Nipoã,475
3532801,Nova Aliança,476
3532827,Nova Campina,771
3532843,Nova Canaã Paulista,752
3532868,Nova Castilho,790
3532900,Nova Europa,477
3533007,Nova Granada,478
3533106,Nova Guataporanga,479
3533205,Nova Independência,480
3533304,Nova Luzitânia,481
3533403,Nova Odessa,482
3533254,Novais,753
3533502,Novo Horizonte,483
3533601,Nuporanga,484
3533700,Ocauçu,485
3533809,Óleo,486
3533908,Olímpia,487
3534005,Onda Verde,488
3534104,Oriente,489
3534203,Orindiúva,490
3534302,Orlândia,491
3534401,Osasco,492
3534500,Oscar Bressane,493
3534609,Osvaldo Cruz,494
3534708,Ourinhos,495
3534807,Ouro Verde,496
3534757,Ouroeste,791
3534906,Pacaembu,497
3535002,Palestina,498
3535101,Palmares Paulista,499
3535200,Palmeira d'Oeste,500
3535309,Palmital,501
3535408,Panorama,502
3535507,Paraguaçu Paulista,503
3535606,Paraibuna,504
3535705,Paraíso,505
3535804,Paranapanema,506
3535903,Paranapuã,508
3536000,Parapuã,509
3536109,Pardinho,507
3536208,Pariquera-Açu,510
3536257,Parisi,754
3536307,Patrocínio Paulista,511
3536406,Paulicéia,512
3536505,Paulínia,513
3536570,Paulistânia,792
3536604,Paulo de Faria,514
3536703,Pederneiras,515
3536802,Pedra Bela,516
3536901,Pedranópolis,517
3537008,Pedregulho,518
3537107,Pedreira,519
3537156,Pedrinhas Paulista,755
3537206,Pedro de Toledo,520
3537305,Penápolis,521
3537404,Pereira Barreto,522
3537503,Pereiras,523
3537602,Peruíbe,524
3537701,Piacatu,525
3537800,Piedade,526
3537909,Pilar do Sul,527
3538006,Pindamonhangaba,528
3538105,Pindorama,529
3538204,Pinhalzinho,531
3538303,Piquerobi,532
3538501,Piquete,533
3538600,Piracaia,534
3538709,Piracicaba,535
3538808,Piraju,537
3538907,Pirajuí,538
3539004,Pirangi,539
3539103,Pirapora do Bom Jesus,540
3539202,Pirapozinho,541
3539301,Pirassununga,536
3539400,Piratininga,542
3539509,Pitangueiras,543
3539608,Planalto,544
3539707,Platina,545
3539806,Poá,546
3539905,Poloni,547
3540002,Pompéia,548
3540101,Pongaí,549
3540200,Pontal,550
3540259,Pontalinda,756
3540309,Pontes Gestal,551
3540408,Populina,552
3540507,Porangaba,553
3540606,Porto Feliz,554
3540705,Porto Ferreira,555
3540754,Potim,757
3540804,Potirendaba,556
3540853,Pracinha,778
3540903,Pradópolis,557
3541000,Praia Grande,558
3541059,Pratânia,779
3541109,Presidente Alves,559
3541208,Presidente Bernardes,560
3541307,Presidente Epitácio,561
3541406,Presidente Prudente,562
3541505,Presidente Venceslau,563
3541604,Promissão,564
3541653,Quadra,780
3541703,Quatá,565
3541802,Queiroz,566
3541901,Queluz,567
3542008,Quintana,568
3542107,Rafard,569
3542206,Rancharia,570
3542305,Redenção da Serra,571
3542404,Regente Feijó,572
3542503,Reginópolis,573
3542602,Registro,574
3542701,Restinga,575
3542800,Ribeira,576
3542909,Ribeirão Bonito,577
3543006,Ribeirão Branco,578
3543105,Ribeirão Corrente,579
3543204,Ribeirão do Sul,580
3543238,Ribeirão dos Índios,793
3543253,Ribeirão Grande,758
3543303,Ribeirão Pires,581
3543402,Ribeirão Preto,582
3543600,Rifaina,584
3543709,Rincão,585
3543808,Rinópolis,586
3543907,Rio Claro,587
3544004,Rio das Pedras,588
3544103,Rio Grande da Serra,589
3544202,Riolândia,590
3543501,Riversul,583
3544251,Rosana,730
3544301,Roseira,591
3544400,Rubiácea,592
3544509,Rubinéia,593
3544608,Sabino,594
3544707,Sagres,595
3544806,Sales,596
3544905,Sales Oliveira,597
3545001,Salesópolis,598
3545100,Salmourão,599
3545159,Saltinho,759
3545209,Salto,600
3545308,Salto de Pirapora,602
3545407,Salto Grande,601
3545506,Sandovalina,603
3545605,Santa Adélia,604
3545704,Santa Albertina,605
3545803,Santa Bárbara d'Oeste,606
3546009,Santa Branca,608
3546108,Santa Clara d'Oeste,609
3546207,Santa Cruz da Conceição,610
3546256,Santa Cruz da Esperança,781
3546306,Santa Cruz das Palmeiras,611
3546405,Santa Cruz do Rio Pardo,612
3546504,Santa Ernestina,613
3546603,Santa Fé do Sul,614
3546702,Santa Gertrudes,615
3546801,Santa Isabel,616
3546900,Santa Lúcia,617
3547007,Santa Maria da Serra,618
3547106,Santa Mercedes,619
3547502,Santa Rita do Passa Quatro,621
3547403,Santa Rita d'Oeste,620
3547601,Santa Rosa de Viterbo,622
3547650,Santa Salete,782
3547205,Santana da Ponte Pensa,624
3547304,Santana de Parnaíba,623
3547700,Santo Anastácio,625
3547809,Santo André,626
3547908,Santo Antônio da Alegria,627
3548005,Santo Antônio de Posse,630
3548054,Santo Antônio do Aracanguá,760
3548104,Santo Antônio do Jardim,628
3548203,Santo Antônio do Pinhal,629
3548302,Santo Expedito,631
3548401,Santópolis do Aguapeí,632
3548500,Santos,633
3548609,São Bento do Sapucaí,634
3548708,São Bernardo do Campo,635
3548807,São Caetano do Sul,636
3548906,São Carlos,637
3549003,São Francisco,638
3549102,São João da Boa Vista,639
